Timestamp,1. What is your current level of education? ,2. What is your gender? ,3. What is your primary field of study? ,4. Are you a domestic or foreign (international) student? ,5.  Are you currently working full-time or part-time while studying?,6. Which mode of education do you prefer?,7. Have you taken any online courses in the past year?,8(a) . What factors influence your choice of online  education?  (select all that apply),8(b).  What factors influence your choice of offline education?  (select all that apply),"9. How do you rate the effectiveness of online education on a scale of 1 to 5 (1 being ineffective, 5 being very effective)?",10. What challenges do you face in online education?  (select all that apply),11. How often do you engage with your instructors during online courses?,12. How satisfied are you with the quality of learning materials provided in online courses?,13. Do you feel that online education provides enough opportunities for collaboration and interaction with other students?,14. What benefits do you find in offline education compared to online education?  (select all that apply),"15. How satisfied are you with the availability of learning resources (labs, libraries) in offline education? ",16. How would you rate the classroom environment in terms of engagement and participation? ,17. Do you feel more motivated to study in an offline (in-person) setting compared to an online one? , 18.  Which mode of education has helped you achieve better grades or academic results?  ,"19. In your opinion, which mode of education, online or offline, better prepares you for getting a job?""  "
10/20/2024 22:41:42,Graduate,Male,data analytics,Foreign (International) student,Not working,Offline (In-person),No,"Convenience of location, Interaction with peers/instructors","Cost, Convenience of location",5,"Difficulty staying motivated, Lack of access to course materials",Sometimes,Satisfied,No,More engaging learning environment,Satisfied,Good,Neutral,Offline,Offline
10/20/2024 22:44:07,Graduate,Male,data analytics,Foreign (International) student,Not working,Online,No,Quality of education,Convenience of location,5,Lack of access to course materials,Rarely,Satisfied,No,"More engaging learning environment, More structured schedule",Satisfied,Good,Neutral,Offline,Offline
10/22/2024 9:37:38,Undergraduate,Male,data analytics,Foreign (International) student,Not working,Offline (In-person),No,"Convenience of location, Interaction with peers/instructors","Quality of education, Face-to-face interaction with instructors and peers",5,"Technical difficulties, Lack of access to course materials",Sometimes,Satisfied,No,"More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Neutral,Offline,Offline
10/22/2024 9:39:18,Undergraduate,Female,data analytics,Foreign (International) student,Full-time,Offline (In-person),No,"Convenience of location, Interaction with peers/instructors, Availability of courses","Cost, Quality of education, Face-to-face interaction with instructors and peers",3,"Difficulty staying motivated, Lack of access to course materials, Doubts remain unclear",Sometimes,Satisfied,Yes,"Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Neutral,Average,Neutral,Online,Online
10/22/2024 9:40:00,Graduate,Male,data analytics,Foreign (International) student,Full-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",5,Technical difficulties,Very often,Very satisfied,Yes,Better interaction with instructors,Neutral,Average,Strongly disagree,Online,Online
10/22/2024 9:42:46,Undergraduate,Female,data analytics,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location",Availability of courses,3,"Lack of interaction with peers, Difficulty staying motivated",Sometimes,Unsatisfied,No,Better interaction with instructors,Very satisfied,Excellent,Agree,Offline,Offline
10/25/2024 12:17:21,Undergraduate,Male,business,Domestic student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",3,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated",Rarely,Unsatisfied,No,"Better interaction with instructors, Easier to focus, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Good,Agree,Offline,Offline
10/25/2024 12:17:25,Graduate,Male,information & technology,Domestic student,Part-time,Offline (In-person),No,Avoiding travel/commute time,"Quality of education, Face-to-face interaction with instructors and peers",1,"Lack of interaction with peers, Difficulty staying motivated, Lack of access to course materials, Doubts remain unclear, Poor overall quality of education",Never,Very unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Very satisfied,Good,Strongly agree,Offline,Offline
10/25/2024 12:29:59,High School,Male,information & technology,Domestic student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Difficulty staying motivated",Rarely,Neutral,No,"Better interaction with instructors, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Good,Agree,Offline,Offline
10/25/2024 12:43:13,Graduate,Male,engineering,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Convenience of location, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",4,"Poor internet connection, Lack of interaction with peers, Technical difficulties, Doubts remain unclear",Sometimes,Satisfied,Yes,Better interaction with instructors,Satisfied,Good,Agree,Online,Online
10/25/2024 12:55:38,Undergraduate,Male,information & technology,Foreign (International) student,Not working,Offline (In-person),No,I really don't like online classes ,"Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Difficulty staying motivated, Doubts remain unclear",Sometimes,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
10/25/2024 13:14:32,Undergraduate,Female,information & technology,Domestic student,Full-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Availability of courses, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,I didn't face any challenges in online education,Sometimes,Very satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Very satisfied,Good,Strongly disagree,Online,Online
10/25/2024 13:24:32,Graduate,Female,other,Foreign (International) student,Full-time,Offline (In-person),No,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time","Flexibility in schedule, Cost, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Poor internet connection, Lack of interaction with peers, Technical difficulties",Very often,Very satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
10/25/2024 13:27:28,Undergraduate,Male,information & technology,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Avoiding travel/commute time",Availability of courses,5,Doubts remain unclear,Never,Neutral,Yes,"Better interaction with instructors, Easier to focus",Neutral,Average,Disagree,Offline,Offline
